,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2001年,推的總數,0,0,0,0,0,0,0,38,0,0,0,0
,推的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0
,推的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0
,➝的總數,0,0,0,0,0,0,0,27,0,0,0,0
,➝的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
,➝的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0
,噓的總數,0,0,0,0,0,0,0,9,0,0,0,0
,噓的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,噓的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0
2002年,推的總數,0,0,0,0,0,0,0,0,0,0,0,0
,推的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,推的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,➝的總數,0,0,0,0,0,0,0,0,0,0,0,0
,➝的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,➝的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,噓的總數,0,0,0,0,0,0,0,0,0,0,0,0
,噓的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,噓的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,推的總數,0,0,0,275,0,0,0,0,0,0,5,0
,推的平均,0.0,0.0,0.0,137.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,推的標準差,0.0,0.0,0.0,137.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,➝的總數,0,0,0,39,0,0,0,0,0,2,2,0
,➝的平均,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.67,0.4,0.0
,➝的標準差,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.94,0.8,0.0
,噓的總數,0,0,0,5,0,0,0,0,0,2,1,0
,噓的平均,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.67,0.2,0.0
,噓的標準差,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.47,0.4,0.0
2004年,推的總數,0,0,0,0,23,0,0,0,0,0,34,2
,推的平均,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,4.86,0.67
,推的標準差,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,4.22,0.94
,➝的總數,2,0,0,0,5,0,0,0,0,0,5,2
,➝的平均,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.71,0.67
,➝的標準差,1.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.03,0.47
,噓的總數,0,0,0,0,0,0,0,0,0,0,2,1
,噓的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.33
,噓的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.47
2005年,推的總數,100,114,56,0,0,0,16,0,156,0,0,0
,推的平均,5.26,8.14,7.0,0.0,0.0,0.0,5.33,0.0,8.21,0.0,0.0,0.0
,推的標準差,4.1,5.82,6.65,0.0,0.0,0.0,4.11,0.0,9.29,0.0,0.0,0.0
,➝的總數,100,37,30,0,0,0,3,0,166,0,0,0
,➝的平均,5.26,2.64,3.75,0.0,0.0,0.0,1.0,0.0,8.74,0.0,0.0,0.0
,➝的標準差,10.23,3.64,4.26,0.0,0.0,0.0,0.82,0.0,17.74,0.0,0.0,0.0
,噓的總數,7,1,1,0,0,0,0,0,5,0,0,0
,噓的平均,0.37,0.07,0.12,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0
,噓的標準差,1.18,0.26,0.33,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0
2006年,推的總數,0,0,0,0,0,22,176,93,10,0,0,151
,推的平均,0.0,0.0,0.0,0.0,0.0,11.0,25.14,18.6,3.33,0.0,0.0,21.57
,推的標準差,0.0,0.0,0.0,0.0,0.0,11.0,23.19,11.5,2.87,0.0,0.0,35.72
,➝的總數,0,0,0,0,0,14,20,29,6,0,0,26
,➝的平均,0.0,0.0,0.0,0.0,0.0,7.0,2.86,5.8,2.0,0.0,0.0,3.71
,➝的標準差,0.0,0.0,0.0,0.0,0.0,7.0,3.23,4.71,2.16,0.0,0.0,5.67
,噓的總數,0,0,0,0,0,0,0,1,0,0,0,1
,噓的平均,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.14
,噓的標準差,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.35
2007年,推的總數,64,117,466,157,77,158,420,212,14,0,47,57
,推的平均,9.14,10.64,12.26,10.47,6.42,6.32,9.77,14.13,1.75,0.0,9.4,9.5
,推的標準差,5.99,15.84,11.77,8.29,6.76,8.38,10.32,14.3,3.07,0.0,8.19,11.3
,➝的總數,18,56,219,51,34,87,257,98,12,0,16,19
,➝的平均,2.57,5.09,5.76,3.4,2.83,3.48,5.98,6.53,1.5,0.0,3.2,3.17
,➝的標準差,2.32,5.99,9.72,4.03,4.12,6.43,7.89,6.38,2.6,0.0,4.53,4.6
,噓的總數,1,2,29,0,0,4,57,0,2,0,0,0
,噓的平均,0.14,0.18,0.76,0.0,0.0,0.16,1.33,0.0,0.25,0.0,0.0,0.0
,噓的標準差,0.35,0.39,3.84,0.0,0.0,0.46,5.17,0.0,0.66,0.0,0.0,0.0
2008年,推的總數,454,712,558,885,102,2,199,96,71,109,12,129
,推的平均,8.73,17.8,14.31,14.05,5.67,0.5,5.69,5.05,7.89,10.9,4.0,7.17
,推的標準差,13.08,18.55,14.7,18.31,9.79,0.5,7.13,6.4,12.42,15.95,5.66,11.59
,➝的總數,369,380,361,810,93,2,465,413,181,245,10,187
,➝的平均,7.1,9.5,9.26,12.86,5.17,0.5,13.29,21.74,20.11,24.5,3.33,10.39
,➝的標準差,19.93,10.95,12.21,20.55,11.1,0.87,36.82,78.87,45.67,51.09,4.71,33.1
,噓的總數,11,60,6,94,0,0,132,17,10,24,0,12
,噓的平均,0.21,1.5,0.15,1.49,0.0,0.0,3.77,0.89,1.11,2.4,0.0,0.67
,噓的標準差,0.82,5.47,0.48,4.48,0.0,0.0,10.3,2.25,1.91,4.13,0.0,1.86
2009年,推的總數,158,416,532,472,1496,612,592,875,101,0,24,3
,推的平均,9.88,29.71,40.92,36.31,23.75,18.55,13.77,17.5,20.2,0.0,6.0,1.5
,推的標準差,14.37,81.97,83.06,115.07,79.45,23.17,17.34,20.93,33.08,0.0,4.24,1.5
,➝的總數,91,298,422,582,1194,940,1165,1034,129,0,13,2
,➝的平均,5.69,21.29,32.46,44.77,18.95,28.48,27.09,20.68,25.8,0.0,3.25,1.0
,➝的標準差,8.44,61.31,65.14,124.9,60.76,66.82,51.23,29.52,42.91,0.0,2.77,1.0
,噓的總數,13,32,21,38,119,8,145,352,59,0,4,1
,噓的平均,0.81,2.29,1.62,2.92,1.89,0.24,3.37,7.04,11.8,0.0,1.0,0.5
,噓的標準差,2.67,5.05,3.27,5.4,7.45,0.65,8.99,23.73,20.68,0.0,0.71,0.5
2010年,推的總數,72,14,186,131,281,3,96,186,0,68,2,0
,推的平均,6.55,2.33,12.4,16.38,31.22,1.5,19.2,16.91,0.0,34.0,0.5,0.0
,推的標準差,6.53,2.87,16.35,22.37,43.39,1.5,20.21,16.71,0.0,34.0,0.5,0.0
,➝的總數,43,7,197,119,125,0,45,334,0,229,1,0
,➝的平均,3.91,1.17,13.13,14.88,13.89,0.0,9.0,30.36,0.0,114.5,0.25,0.0
,➝的標準差,4.01,1.07,19.28,16.28,16.48,0.0,6.6,47.06,0.0,114.5,0.43,0.0
,噓的總數,1,2,98,2,17,0,20,11,0,7,0,0
,噓的平均,0.09,0.33,6.53,0.25,1.89,0.0,4.0,1.0,0.0,3.5,0.0,0.0
,噓的標準差,0.29,0.47,13.27,0.43,4.38,0.0,8.0,2.56,0.0,3.5,0.0,0.0
2011年,推的總數,4,62,14,2108,3069,7343,5237,32422,21864,2886,3173,8112
,推的平均,2.0,15.5,2.8,11.78,12.43,19.37,14.47,18.69,22.87,10.61,10.72,13.84
,推的標準差,2.0,21.47,3.19,13.39,12.23,56.29,54.96,55.85,66.58,13.48,15.1,40.03
,➝的總數,8,43,22,2875,3401,8351,5024,35463,27169,2419,1898,6005
,➝的平均,4.0,10.75,4.4,16.06,13.77,22.03,13.88,20.44,28.42,8.89,6.41,10.25
,➝的標準差,4.0,15.86,5.39,23.93,20.83,58.49,54.0,55.12,73.83,18.57,10.3,30.79
,噓的總數,0,9,7,407,386,383,173,6341,3896,134,139,596
,噓的平均,0.0,2.25,1.4,2.27,1.56,1.01,0.48,3.65,4.08,0.49,0.47,1.02
,噓的標準差,0.0,2.86,1.96,8.23,5.65,3.31,1.62,15.42,16.49,1.49,2.03,3.79
2012年,推的總數,5772,6293,6613,11492,9537,1441,2531,19340,12074,2074,5254,5777
,推的平均,15.68,10.38,11.11,16.28,17.06,7.39,6.92,20.0,20.64,9.51,14.01,11.67
,推的標準差,40.75,30.39,22.88,56.84,65.57,11.15,12.71,69.13,67.5,17.32,27.5,19.8
,➝的總數,4670,5314,6056,10523,8950,1157,2519,20964,13334,1769,4376,4420
,➝的平均,12.69,8.77,10.18,14.91,16.01,5.93,6.88,21.68,22.79,8.11,11.67,8.93
,➝的標準差,30.21,27.52,23.55,53.07,59.05,11.07,19.48,66.9,76.25,15.27,24.65,15.53
,噓的總數,565,620,360,1390,1179,81,189,2694,1524,114,484,492
,噓的平均,1.54,1.02,0.61,1.97,2.11,0.42,0.52,2.79,2.61,0.52,1.29,0.99
,噓的標準差,6.1,4.89,2.08,8.0,7.55,2.03,2.45,12.11,9.6,1.78,4.07,3.53
2013年,推的總數,5584,2879,14106,6683,2732,3044,18871,51764,1928,3438,5840,7867
,推的平均,13.2,9.17,24.24,20.25,17.08,13.06,23.56,21.35,9.84,11.5,15.09,16.85
,推的標準差,34.12,18.31,72.67,61.4,27.81,16.57,74.78,60.21,10.27,32.01,25.53,40.76
,➝的總數,4307,1904,12082,7524,3172,3939,18795,43091,1677,2603,4525,5943
,➝的平均,10.18,6.06,20.76,22.8,19.82,16.91,23.46,17.78,8.56,8.71,11.69,12.73
,➝的標準差,24.8,12.66,62.07,59.11,44.03,26.37,64.42,53.46,12.08,24.16,30.43,34.7
,噓的總數,286,126,3388,967,266,564,2639,6878,150,223,187,747
,噓的平均,0.68,0.4,5.82,2.93,1.66,2.42,3.29,2.84,0.77,0.75,0.48,1.6
,噓的標準差,2.63,1.83,25.56,9.77,4.22,8.52,13.73,11.86,2.86,5.89,1.64,4.52
2014年,推的總數,4915,7336,8447,3310,822,871,9670,26081,6473,2622,4671,7518
,推的平均,14.16,15.25,17.63,14.58,6.79,8.62,24.0,26.37,13.77,9.43,12.8,15.76
,推的標準差,31.88,32.6,54.14,43.32,7.77,9.43,75.58,83.03,46.22,23.45,33.69,33.96
,➝的總數,3854,8660,6394,2551,617,726,7221,23239,6849,1993,3069,4811
,➝的平均,11.11,18.0,13.35,11.24,5.1,7.19,17.92,23.5,14.57,7.17,8.41,10.09
,➝的標準差,24.13,38.68,42.14,36.78,7.23,11.2,54.6,64.5,48.97,22.93,21.66,27.27
,噓的總數,570,2012,606,167,105,74,661,2906,885,193,397,893
,噓的平均,1.64,4.18,1.27,0.74,0.87,0.73,1.64,2.94,1.88,0.69,1.09,1.87
,噓的標準差,5.21,12.26,6.26,2.93,4.93,2.61,7.21,15.88,8.97,2.07,3.76,7.29
2015年,推的總數,11788,6309,15740,11830,3435,1878,6959,17668,37409,5037,4368,14086
,推的平均,20.12,20.03,24.87,19.72,14.19,11.31,18.56,23.97,27.63,17.93,15.94,28.81
,推的標準差,52.68,42.19,76.13,65.7,16.16,14.53,36.21,78.19,75.52,55.97,36.41,66.97
,➝的總數,8713,4348,12423,9272,2502,1214,5707,12428,30215,4480,2934,10222
,➝的平均,14.87,13.8,19.63,15.45,10.34,7.31,15.22,16.86,22.32,15.94,10.71,20.9
,➝的標準差,39.05,32.6,59.87,50.03,12.7,9.71,32.66,53.36,54.75,56.08,24.86,54.03
,噓的總數,1811,1090,3023,2063,526,250,1067,2872,7010,574,567,1439
,噓的平均,3.09,3.46,4.78,3.44,2.17,1.51,2.85,3.9,5.18,2.04,2.07,2.94
,噓的標準差,12.54,13.19,16.18,14.27,6.74,3.75,8.36,13.66,14.76,5.35,6.32,7.03
2016年,推的總數,12504,4559,7492,17825,2296,5886,29590,4722,5575,2900,15042,18235
,推的平均,27.06,18.24,19.16,28.94,16.28,22.55,31.65,17.42,15.97,15.76,26.25,29.65
,推的標準差,62.9,33.49,40.07,81.29,16.15,43.0,84.35,22.18,30.54,16.78,73.71,70.42
,➝的總數,10344,3038,4892,14441,1688,4424,22773,3659,5062,2519,11612,14104
,➝的平均,22.39,12.15,12.51,23.44,11.97,16.95,24.36,13.5,14.5,13.69,20.27,22.93
,➝的標準差,62.36,26.91,28.08,74.08,14.09,39.65,64.8,16.43,31.15,25.79,67.02,62.48
,噓的總數,1725,667,1238,4269,296,405,5310,1108,1082,568,2246,2281
,噓的平均,3.73,2.67,3.17,6.93,2.1,1.55,5.68,4.09,3.1,3.09,3.92,3.71
,噓的標準差,11.25,6.25,8.84,26.06,4.8,4.24,17.51,11.25,7.57,8.26,13.48,11.74
2017年,推的總數,11527,13928,22900,4435,4709,7430,29098,35828,6881,2538,8023,24142
,推的平均,26.44,29.82,32.07,17.39,18.54,21.41,42.92,39.03,20.91,18.26,21.63,36.25
,推的標準差,63.85,65.22,89.96,19.96,25.63,59.44,115.01,99.94,31.68,43.4,56.79,82.44
,➝的總數,8712,10250,17720,2938,2885,5474,20544,27232,4486,1208,5114,15224
,➝的平均,19.98,21.95,24.82,11.52,11.36,15.78,30.3,29.66,13.64,8.69,13.78,22.86
,➝的標準差,53.88,51.25,73.88,14.85,17.18,40.19,72.1,68.39,25.09,10.73,44.24,55.42
,噓的總數,2199,2381,4076,624,450,905,4144,5247,784,382,1265,2632
,噓的平均,5.04,5.1,5.71,2.45,1.77,2.61,6.11,5.72,2.38,2.75,3.41,3.95
,噓的標準差,16.58,12.87,17.65,5.11,5.73,6.6,16.31,17.52,6.51,8.48,14.21,10.16
2018年,推的總數,20739,17120,21165,32779,6568,10768,34424,20081,10017,3231,10992,20373
,推的平均,33.08,35.67,31.54,38.88,25.76,28.56,39.43,38.1,28.22,17.1,25.44,35.43
,推的標準差,77.07,85.51,65.67,108.37,44.0,84.18,100.4,87.27,58.24,22.54,62.1,67.0
,➝的總數,14267,10452,14377,24580,5414,8285,32692,17533,9324,2101,7088,13541
,➝的平均,22.75,21.78,21.43,29.16,21.23,21.98,37.45,33.27,26.26,11.12,16.41,23.55
,➝的標準差,61.3,57.6,48.12,88.31,52.12,46.94,84.66,83.36,62.32,15.01,42.76,51.26
,噓的總數,2365,1897,2326,4551,1098,1515,6310,2655,1284,433,1377,2055
,噓的平均,3.77,3.95,3.47,5.4,4.31,4.02,7.23,5.04,3.62,2.29,3.19,3.57
,噓的標準差,10.63,10.1,7.87,15.97,11.25,8.57,17.45,13.61,10.55,6.43,8.35,7.97
2019年,推的總數,17525,5801,15492,16035,11089,5182,18075,5575,3431,2601,6907,11651
,推的平均,36.59,22.57,31.11,40.19,34.02,30.85,34.76,20.65,18.96,17.11,26.16,24.12
,推的標準差,63.23,40.29,65.31,91.33,88.37,68.17,89.05,22.39,18.46,17.22,57.97,49.41
,➝的總數,12305,4458,9917,12024,9291,4612,16310,3519,3127,1593,4731,8457
,➝的平均,25.69,17.35,19.91,30.14,28.5,27.45,31.37,13.03,17.28,10.48,17.92,17.51
,➝的標準差,49.44,32.72,42.4,78.72,77.66,58.68,83.97,21.62,22.61,10.5,36.68,36.08
,噓的總數,1455,897,1321,1771,1243,448,2533,686,877,369,562,956
,噓的平均,3.04,3.49,2.65,4.44,3.81,2.67,4.87,2.54,4.85,2.43,2.13,1.98
,噓的標準差,6.39,8.59,7.54,12.87,11.59,4.92,14.66,6.13,11.07,6.06,5.51,4.79
2020年,推的總數,7123,7891,7440,7751,4990,5561,9382,5374,4957,12076,14465,23802
,推的平均,19.62,23.98,22.28,26.36,17.33,20.3,25.02,24.54,25.16,26.08,30.14,28.2
,推的標準差,30.29,57.3,53.66,45.52,17.19,18.9,26.8,28.7,25.64,58.6,64.53,65.01
,➝的總數,4966,6189,5458,4707,5193,6440,8891,4073,3925,11605,11953,20969
,➝的平均,13.68,18.81,16.34,16.01,18.03,23.5,23.71,18.6,19.92,25.06,24.9,24.84
,➝的標準差,21.24,48.06,46.52,29.38,23.88,36.31,28.72,24.38,26.56,51.49,55.68,50.47
,噓的總數,931,1139,880,694,812,552,858,659,498,1667,1139,3747
,噓的平均,2.56,3.46,2.63,2.36,2.82,2.01,2.29,3.01,2.53,3.6,2.37,4.44
,噓的標準差,8.35,9.34,6.97,4.9,6.16,3.86,4.71,8.1,4.93,7.89,5.25,15.36
2021年,推的總數,37137,22525,34255,22585,23983,18786,20259,23665,14678,16330,33832,48925
,推的平均,32.6,33.82,36.02,31.46,30.47,49.83,42.92,34.65,29.47,33.95,40.37,40.53
,推的標準差,86.98,90.09,88.36,69.06,58.07,81.26,50.51,55.41,36.49,46.29,93.52,97.17
,➝的總數,35266,22101,30805,18709,26724,17568,20933,26430,13864,12279,27038,40272
,➝的平均,30.96,33.18,32.39,26.06,33.96,46.6,44.35,38.7,27.84,25.53,32.26,33.37
,➝的標準差,79.96,81.89,74.81,60.63,64.51,82.73,70.42,60.27,35.77,41.82,78.19,81.9
,噓的總數,4356,2570,4897,2673,3423,1885,2217,3031,2574,1953,2935,4847
,噓的平均,3.82,3.86,5.15,3.72,4.35,5.0,4.7,4.44,5.17,4.06,3.5,4.02
,噓的標準差,11.81,9.5,12.14,9.1,10.17,11.66,12.69,9.22,14.07,8.8,7.2,10.08
2022年,推的總數,56522,36142,68696,57079,38993,89945,71024,22710,46417,32607,109901,79839
,推的平均,36.0,41.93,44.55,42.03,46.04,43.37,46.03,39.22,44.25,38.14,41.66,40.3
,推的標準差,83.52,91.96,96.71,94.83,102.66,79.01,78.55,44.55,86.36,92.33,82.54,91.85
,➝的總數,48676,25830,50741,42206,29944,72073,63362,17335,42872,27805,84683,63618
,➝的平均,31.0,29.97,32.91,31.08,35.35,34.75,41.06,29.94,40.87,32.52,32.1,32.11
,➝的標準差,73.1,71.77,79.66,79.13,82.97,63.32,74.3,42.67,76.09,69.3,67.16,82.23
,噓的總數,5268,3701,5572,5929,3378,10536,8426,2617,4882,3569,12605,9516
,噓的平均,3.36,4.29,3.61,4.37,3.99,5.08,5.46,4.52,4.65,4.17,4.78,4.8
,噓的標準差,8.48,10.07,10.31,12.97,9.04,13.47,14.55,12.99,9.44,9.29,12.85,11.13
